Wall time,Step,Value
1706302985.567048,1598,1.25246156582433e-18
1706302985.9825072,1600,1.5245502206144602e-18
1706302986.6071951,1603,1.2005487445562677e-18
1706302987.0214875,1605,1.2879562994992867e-18
1706302987.2275019,1606,1.3642195602421085e-18
1706302988.279854,1611,1.190877038641568e-18
1706302988.9141405,1614,1.333554217175966e-18
1706302989.9448252,1619,1.6668271471299592e-18
1706302990.355506,1621,1.6473592446183705e-18
1706302991.1970131,1625,1.6217525245882962e-18
1706302991.611665,1627,1.4102467846567029e-18
1706302991.8173084,1628,1.2548468445182032e-18
1706302992.0314012,1629,1.1739033958695564e-18
1706302992.4501235,1631,1.0927052789898199e-18
1706302992.8654602,1633,1.33386813221843e-18
1706302993.901386,1638,1.5560225817657246e-18
1706302994.5298216,1641,1.3609623297850278e-18
1706302994.9458778,1643,1.6312566230313773e-18
1706302995.5798209,1646,1.1608898802801425e-18
1706302996.2126565,1649,1.3360246954729323e-18
1706302997.0478983,1653,9.304261946845995e-19
1706302997.667589,1656,9.62102766049588e-19
1706302998.5010598,1660,1.129141550997015e-18
1706302998.7110748,1661,1.063267265157553e-18
1706302998.928346,1662,1.3147499203107981e-18
1706303000.392539,1669,9.430927080070475e-19
1706303000.805221,1671,8.526628419009128e-19
1706303001.227336,1673,7.033057146310545e-19
1706303001.8615227,1676,7.810740821972048e-19
1706303002.0675488,1677,7.8147769463734235e-19
1706303003.3321102,1683,6.772404780476843e-19
1706303003.5491717,1684,9.22261715243548e-19
1706303004.4249127,1688,7.490269339177925e-19
1706303005.2901878,1692,9.939099492332986e-18
1706303005.9434366,1695,1.4847017251829072e-18
1706303006.1554852,1696,1.4587607207877848e-18
1706303006.3695157,1697,6.65467216389217e-19
1706303006.5865328,1698,6.370649877802314e-19
1706303007.0334067,1700,9.710930819346972e-19
1706303007.6718976,1703,1.4000070124563324e-18
1706303009.2042074,1710,1.1945989378077503e-18
1706303009.4205973,1711,9.863740029806955e-19
1706303010.4975653,1716,8.900583332259398e-19
1706303010.9251404,1718,9.705705105827168e-19
1706303011.130343,1719,1.0087418973223185e-18
1706303011.344367,1720,9.337179599322543e-19
1706303013.257423,1729,8.582824484886567e-19
1706303014.1222067,1733,8.251818340003699e-19
1706303014.3358912,1734,7.302672014081258e-19
1706303014.5546079,1735,8.688575907286291e-19
1706303014.7637377,1736,9.239481297173905e-19
1706303015.196534,1738,7.08097003232903e-19
1706303016.2619636,1743,9.416236352391533e-19
1706303016.4764721,1744,8.666999934983611e-19
1706303016.8991044,1746,7.440676759528074e-19
1706303017.1090586,1747,3.4700306105938316e-17
1706303017.3249342,1748,7.608170493812405e-19
1706303017.976573,1751,9.705979109405076e-19
1706303018.4040353,1753,1.0101815017808905e-18
1706303018.6289356,1754,9.84911961248008e-19
1706303018.846017,1755,8.685676639239293e-19
1706303020.8232424,1764,1.0990442742165434e-18
1706303021.4754922,1767,1.1351840019741383e-18
1706303023.4354804,1776,2.3285816667373085e-18
1706303024.7381551,1782,9.774629930368149e-19
1706303024.9493418,1783,6.995875894764169e-19
1706303026.2470627,1789,8.394911280193481e-19
1706303026.4564195,1790,8.477270551858089e-19
1706303026.676471,1791,8.646247007390421e-19
1706303027.1281228,1793,6.733772860931202e-19
1706303028.4212658,1799,1.0735164465373913e-18
1706303029.727704,1805,9.258609848839194e-19
1706303029.949926,1806,8.319495672783373e-19
1706303031.680813,1814,1.34338401798524e-18
1706303031.8940988,1815,9.113251467746781e-19
1706303032.5508027,1818,9.517614574290266e-19
1706303033.1829994,1821,1.062669006779524e-18
1706303034.0533855,1825,9.514912795614515e-19
1706303034.4700356,1827,7.094290742118431e-19
1706303035.3031478,1831,6.369772549365125e-19
1706303036.6172726,1837,1.0571015642691593e-18
1706303037.4737828,1841,8.417494344891944e-19
1706303037.6913042,1842,9.344065877922047e-19
1706303038.3544002,1845,8.5492182045500685e-19
1706303038.7743707,1847,1.1894176852458713e-18
1706303039.4075813,1850,9.27716040805146e-19
1706303040.266722,1854,1.0831364536638064e-18
1706303040.701008,1856,1.020764657333047e-18
1706303041.1269433,1858,8.857304208634858e-19
1706303041.343326,1859,2.013838616480269e-18
1706303041.5586514,1860,6.940870968968807e-19
1706303043.0923324,1867,9.465356405116463e-19
1706303043.5220618,1869,8.53301115141074e-19
1706303043.7402012,1870,8.187736657949215e-19
1706303045.0536983,1876,8.974563264318844e-19
1706303045.260441,1877,8.691232191028352e-19
1706303045.46903,1878,1.710524617349298e-18
1706303045.903897,1880,8.621973909302936e-19
1706303046.3300698,1882,1.1019668067182698e-18
1706303048.9319174,1894,5.93236771325321e-19
1706303050.8402812,1903,7.249253724098349e-19
1706303051.6844187,1907,8.043264394088001e-19
1706303052.7529526,1912,1.039714641383601e-18
1706303052.968836,1913,9.97489656052183e-19
1706303054.0530806,1918,1.0046175747881291e-18
1706303054.2686315,1919,1.2465995436183199e-18
1706303054.4798243,1920,1.0875786203483693e-18
